Origin Country,Destination Country,Intermediate Nodes,Transaction Type,Transaction Currency,Tax Treaty Applicable,Tax Evasion Risk Index
Japan,India,Singapore,Royalty,JPY,No,49.93305773448135
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.433053957659075
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.70793597706786
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,27.898444654742175
UK,China,Singapore,Acquisition,GBP,Yes,14.944053513417757
UK,India,Singapore,Investment,GBP,Yes,34.97154185634159
UK,China,Singapore,Acquisition,GBP,Yes,16.584931429316576
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.08088433735323
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.024290790512
France,South Africa,Mauritius,Royalty,EUR,No,54.467362165253974
France,USA,Ireland,Acquisition,EUR,Yes,18.599042957095833
USA,UK,Ireland,Acquisition,USD,Yes,10.33237867831095
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.98425695592164
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.348228503802947
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.703135814845833
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.76153349729378
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.726054780428417
UK,India,Singapore,Investment,GBP,Yes,34.94638081156508
France,South Africa,Mauritius,Royalty,EUR,No,54.10776885252569
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Singapore,Acquisition,GBP,Yes,14.014078654786687
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Singapore,Acquisition,GBP,Yes,16.457318727994924
Switzerland,Brazil,Singapore,Investment,CHF,No,50.22355202092128
France,USA,Ireland,Acquisition,EUR,Yes,19.321427107578664
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.54803767204603
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.268363180446734
France,USA,Ireland,Acquisition,EUR,Yes,21.057642672520146
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.882393909736512
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.96924145018538
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.58959099072183
UK,China,Singapore,Acquisition,GBP,Yes,15.142127830743295
France,South Africa,Mauritius,Royalty,EUR,No,54.76472800479719
USA,UK,Ireland,Acquisition,USD,Yes,10.098723036220752
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.82638535439461
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.804565420897358
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.38558331481829
Switzerland,Brazil,Singapore,Investment,CHF,No,50.34449247059706
Germany,China,Hong Kong,Royalty,EUR,No,56.340957564504926
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.00045674843217
Japan,India,Singapore,Royalty,JPY,No,50.0540600383628
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.753801322622774
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.6293461644895
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.257126305264213
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.270661012713205
UK,India,Singapore,Investment,GBP,Yes,35.012383533744845
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.89953482943927
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Germany,China,Hong Kong,Royalty,EUR,No,55.70041948354871
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.480461366627658
Germany,China,Hong Kong,Royalty,EUR,No,55.701741118089394
Canada,China,Hong Kong,Acquisition,CAD,No,64.20359027532189
Canada,China,Hong Kong,Acquisition,CAD,No,64.57791976632384
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,26.175023108949894
Germany,China,Hong Kong,Royalty,EUR,No,55.06984920149063
Japan,India,Singapore,Royalty,JPY,No,48.33854688389967
USA,UK,Ireland,Acquisition,USD,Yes,10.238006031137157
Japan,India,Singapore,Royalty,JPY,No,48.497760968865535
Switzerland,Brazil,Singapore,Investment,CHF,No,50.21124797774921
France,USA,Ireland,Acquisition,EUR,Yes,21.45333820778861
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.04433987059846
UK,India,Singapore,Investment,GBP,Yes,36.66823118765688
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.58749018191095
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.54344612013376
France,USA,Ireland,Acquisition,EUR,Yes,18.608442606485426
France,South Africa,Mauritius,Royalty,EUR,No,54.58792473177476
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.676321851326357
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.906062253895353
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,23.755426308724502
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.729218286172681
Netherlands,India,Mauritius,Royalty,EUR,Yes,17.001536083132105
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.481769534609555
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,South Africa,Mauritius,Royalty,EUR,No,54.71340594305644
Switzerland,Brazil,Singapore,Investment,CHF,No,49.95673785335717
France,USA,Ireland,Acquisition,EUR,Yes,19.940291288053853
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.11834240350601
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,28.192983570023188
Switzerland,Brazil,Singapore,Investment,CHF,No,50.07117987775985
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.421055422315263
France,South Africa,Mauritius,Royalty,EUR,No,54.99819024074082
Switzerland,Brazil,Singapore,Investment,CHF,No,51.183667926653705
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,26.26013239743389
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.00938465377039
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Canada,China,Hong Kong,Acquisition,CAD,No,65.40000070602197
USA,South Africa,Ireland,Dividend,USD,Yes,30.642346435033797
France,USA,Ireland,Acquisition,EUR,Yes,20.300425674741717
France,South Africa,Mauritius,Royalty,EUR,No,55.498076855539736
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.373323442972932
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.83503304170319
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.78390663896647
USA,UK,Ireland,Acquisition,USD,Yes,11.3089909977426
USA,India,Netherlands;Singapore,Investment,USD,Yes,23.738969378758945
Germany,China,Hong Kong,Royalty,EUR,No,53.25550806064731
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.092917891751476
UK,India,Singapore,Investment,GBP,Yes,33.98972194379628
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,61.23509781388297
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.12317606659529
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.518070122216265
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.59774305836149
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.720187689761154
UK,China,Singapore,Acquisition,GBP,Yes,14.124660270556895
France,USA,Ireland,Acquisition,EUR,Yes,18.982729365794878
France,USA,Ireland,Acquisition,EUR,Yes,19.40829840915264
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,62.18103148846365
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.505586700827983
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.85320176152168
Japan,India,Singapore,Royalty,JPY,No,49.79553007955068
France,South Africa,Mauritius,Royalty,EUR,No,55.054928742589674
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.50777326706663
UK,India,Singapore,Investment,GBP,Yes,35.279724597847384
UK,China,Singapore,Acquisition,GBP,Yes,13.958012241093748
Japan,India,Singapore,Royalty,JPY,No,51.59005712932594
Japan,India,Singapore,Royalty,JPY,No,49.35119422122048
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
USA,UK,Ireland,Acquisition,USD,Yes,10.0
USA,India,Netherlands;Singapore,Investment,USD,Yes,26.711336468811506
Germany,China,Hong Kong,Royalty,EUR,No,55.68034017413067
UK,China,Singapore,Acquisition,GBP,Yes,14.948060279838352
France,South Africa,Mauritius,Royalty,EUR,No,55.90041259971993
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,66.40457172329464
France,USA,Ireland,Acquisition,EUR,Yes,20.316781353142872
USA,India,Netherlands;Singapore,Investment,USD,Yes,21.77693191479764
France,USA,Ireland,Acquisition,EUR,Yes,19.16559795625369
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.207828843696543
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.282863479762042
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.727563805001694
Germany,China,Hong Kong,Royalty,EUR,No,57.44919875613823
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,India,Singapore,Investment,GBP,Yes,34.162783119201045
Switzerland,Brazil,Singapore,Investment,CHF,No,49.690496257445226
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,13.649783031484068
USA,South Africa,Ireland,Dividend,USD,Yes,29.918875780616837
Canada,China,Hong Kong,Acquisition,CAD,No,64.49601027297312
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.171580914795946
France,USA,Ireland,Acquisition,EUR,Yes,20.870136028943055
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.20154107031338
USA,South Africa,Ireland,Dividend,USD,Yes,30.35285088766068
Canada,China,Hong Kong,Acquisition,CAD,No,62.74778324298973
Japan,India,Singapore,Royalty,JPY,No,49.70227857112906
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.269171988908129
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.14875072073316
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.508277192044126
Switzerland,Brazil,Singapore,Investment,CHF,No,47.9435146053937
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.59974322193924
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.20345852361104
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.11697294906031
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.662966124280004
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.945321585983752
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.69441967319578
USA,South Africa,Ireland,Dividend,USD,Yes,29.835893965833225
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.52462151104688
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.582287626808583
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.47513745913549
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,India,Mauritius,Royalty,EUR,Yes,18.58286927162615
UK,China,Singapore,Acquisition,GBP,Yes,13.617398544266583
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.001047825557634
Canada,China,Hong Kong,Acquisition,CAD,No,65.71004369656018
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Germany,China,Hong Kong,Royalty,EUR,No,55.075821744655386
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.6210828094323
Switzerland,Brazil,Singapore,Investment,CHF,No,49.283836714158284
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,61.21228234094158
USA,South Africa,Ireland,Dividend,USD,Yes,30.77556005819432
USA,South Africa,Ireland,Dividend,USD,Yes,29.835755230079496
Germany,China,Hong Kong,Royalty,EUR,No,55.072881061649895
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Singapore,Acquisition,GBP,Yes,13.987054631554303
USA,UK,Ireland,Acquisition,USD,Yes,10.593771692993883
UK,China,Singapore,Acquisition,GBP,Yes,15.326951990427391
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.60862971185598
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.72642588729582
Switzerland,Brazil,Singapore,Investment,CHF,No,49.29429113681213
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.59775080207988
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.788877501752332
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.179614985478832
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.82506833799805
USA,South Africa,Ireland,Dividend,USD,Yes,30.65641993612507
